Errors,Corrected Spelling
Efprit,Esprit
eft,est
Eft,Est
emprefs,empress
Emprefs,Empress
enlift,enlist
Enlift,Enlist
entreprife,entreprise
Entreprife,Entreprise
exactnefs,exactness
Exactnefs,Exactness
expofera,exposera
Expofera,Exposera
extenfive,extensive
Extenfive,Extensive
fa,sa
Fa,Sa
facred,sacred
Facred,Sacred
facrées,sacrées
Facrées,Sacrées
faffe,fasse
Faffe,Fasse
faid,said
Faid,Said
faifon,saison
Faifon,Saison
fale,sale
Fale,Sale
falfities,falsities
Falfities,Falsities
fans,sans
Fans,Sans
faw,saw
Faw,Saw
fball,shall
Fball,Shall
fcandal,scandal
Fcandal,Scandal
fcheme,scheme
Fcheme,Scheme
fcience,science
Fcience,Science
fcribed,scribed
Fcribed,Scribed
fe,se
Fe,Se
feafon,season
Feafon,Season
féance,séance
Féance,Séance
fecond,second
Fecond,Second
fecours,secours
Fecours,Secours
feems,seems
Feems,Seems
feffion,session
Feffion,Session
feized,seized
Feized,Seized
femaines,semaines
Femaines,Semaines
fent,sent
Fent,Sent
ferments,serments
Ferments,Serments
fert,sert
Fert,Sert
fervice,service
Fervice,Service
fervira,servira
Fervira,Servira
fes,ses
Fes,Ses
fettled,settled
Fettled,Settled
feulement,seulement
Feulement,Seulement
feulment,seulment
Feulment,Seulment
feveral,several
Feveral,Several
fexes,sexes
Fexes,Sexes
fhall,shall
Fhall,Shall
fhe,she
Fhe,She
fhedding,shedding
Fhedding,Shedding
fhips,ships
Fhips,Ships
fhould,should
Fhould,Should
fi,si
Fi,Si
fieur,sieur
Fieur,Sieur
fifh,fish
Fifh,Fish
filks,silks
Filks,Silks
filver,silver
Filver,Silver
fince,since
Fince,Since
firft,first
Firft,First
fketch,sketch
Fketch,Sketch
fo,so
Fo,So
fociété,société
Fociété,Société
fociety,society
Fociety,Society
foient,soient
Foient,Soient
foigneufement,soigneusement
Foigneufement,Soigneusement
foin,soin
Foin,Soin
foins,soins
Foins,Soins
follicite,sollicite
Follicite,Sollicite
follicited,sollicited
Follicited,Sollicited
fome,some
Fome,Some
fomme,somme
Fomme,Somme
fon,son
Fon,Son
foon,soon
Foon,Soon
forefee,foresee
Forefee,Foresee
foufcriptions,souscriptions
Foufcriptions,Souscriptions
foufcrit,souscrit
Foufcrit,Souscrit
fouhaiteront,souhaiteront
Fouhaiteront,Souhaiteront
fous,sous
Fous,Sous
foutenir,soutenir
Foutenir,Soutenir
fouthren,southren
Fouthren,Southren
foutien,soutien
Foutien,Soutien
fpace,space
Fpace,Space
fpend,spend
Fpend,Spend
fpring,spring
Fpring,Spring
franchife,franchise
Franchife,Franchise
françoiles,françoises
Françoiles,Françoises
fruftrées,frustrées
Fruftrées,Frustrées
ftamp,stamp
Ftamp,Stamp
ftate,state
Ftate,State
fteal,steal
Fteal,Steal
fterling,sterling
Fterling,Sterling
fub,sub
Fub,Sub
fubfcribe,subscribe
Fubfcribe,Subscribe
fubfcribed,subscribed
Fubfcribed,Subscribed
fubfcribers,subscribers
Fubfcribers,Subscribers
fubject,subject
Fubject,Subject
fucceffiv,successiv
Fucceffiv,Successiv
fuccefs,success
Fuccefs,Success
fuccefsfully,successfully
Fuccefsfully,Successfully
fuccés,succés
Fuccés,Succés
fuch,such
Fuch,Such
fucres,sucres
Fucres,Sucres
fufficient,sufficient
Fufficient,Sufficient
fuffifante,suffisante
Fuffifante,Suffisante
fuffrage,suffrage
Fuffrage,Suffrage
fufpend,suspend
Fufpend,Suspend
fugars,sugars
Fugars,Sugars
fuivre,suivre
Fuivre,Suivre
fujet,sujet
Fujet,Sujet
fujets,sujets
Fujets,Sujets
fupply,supply
Fupply,Supply
fupportent,supportent
Fupportent,Supportent
fur,sur
Fur,Sur
generoufly,generously
Generoufly,Generously
genoefe,genoese
Genoefe,Genoese
harveft,harvest
Harveft,Harvest
hiftoire,histoire
Hiftoire,Histoire
highnefs,highness
Highnefs,Highness
himfelf,himself
Himfelf,Himself
holinefs,holiness
Holinefs,Holiness
iffued,issued
Iffued,Issued
iflands,islands
Iflands,Islands
ifles,isles
Ifles,Isles
impofés,imposés
Impofés,Imposés
in- jerted,inserted
In- jerted,Inserted
inféré,inséré
Inféré,Inséré
inferted,inserted
Inferted,Inserted
inftruction,instruction
Inftruction,Instruction
inftruire,instruire
Inftruire,Instruire
inftruiront,instruiront
Inftruiront,Instruiront
ingenieufes,ingenieuses
Ingenieufes,Ingenieuses
inlands,islands
Inlands,Islands
intereffant,interessant
Intereffant,Interessant
intéreffantes,intéressantes
Intéreffantes,Intéressantes
intereft,interest
Intereft,Interest
interefting,interesting
Interefting,Interesting
interefts,interests
Interefts,Interests
interfperfed,interspersed
Interfperfed,Interspersed
invefted,invested
Invefted,Invested
jackfon,jackson
Jackfon,Jackson
jefuits,jesuits
Jefuits,Jesuits
jeuneffe,jeunesse
Jeuneffe,Jeunesse
jofeph,joseph
Jofeph,Joseph
juftice,justice
Juftice,Justice
jurifdiction,jurisdiction
Jurifdiction,Jurisdiction
laft,last
Laft,Last
lefquelles,lesquelles
Lefquelles,Lesquelles
lifte,liste
Lifte,Liste
likewife,likewise
Likewife,Likewise
loft,lost
Loft,Lost
majefté,majesté
Majefté,Majesté
majefty,majesty
Majefty,Majesty
maniféftéra,maniféstéra
Maniféftéra,Maniféstéra
manifeftes,manifestes
Manifeftes,Manifestes
marchandifes,marchandises
Marchandifes,Marchandises
meafure,measure
Meafure,Measure
meffieurs,messieurs
Meffieurs,Messieurs
mife,mise
Mife,Mise
miferable,miserable
Miferable,Miserable
minifter,minister
Minifter,Minister
miniftre,ministre
Miniftre,Ministre
moft,most
Moft,Most
monfieur,monsieur
Monfieur,Monsieur
neceffaires,necessaires
Neceffaires,Necessaires
neceffary,necessary
Neceffary,Necessary
neceffity,necessity
Neceffity,Necessity
obferve,observe
Obferve,Observe
obferver,observer
Obferver,Observer
occafion,occasion
Occafion,Occasion
occafions,occasions
Occafions,Occasions
offenfer,offenser
Offenfer,Offenser
ofons,osons
Ofons,Osons
oppofé,opposé
Oppofé,Opposé
oppofing,opposing
Oppofing,Opposing
paffa,passa
Paffa,Passa
paffé,passé
Paffé,Passé
paffed,passed
Paffed,Passed
paffes,passes
Paffes,Passes
pafs,pass
Pafs,Pass
paft,past
Paft,Past
perfifte,persiste
Perfifte,Persiste
perfon,person
Perfon,Person
perfonage,personage
Perfonage,Personage
perfonnage,personnage
Perfonnage,Personnage
perfonne,personne
Perfonne,Personne
perfonnes,personnes
Perfonnes,Personnes
perfons,persons
Perfons,Persons
perquifites,perquisites
Perquifites,Perquisites
perufal,perusal
Perufal,Perusal
peterfburgh,petersburgh
Peterfburgh,Petersburgh
pleafe,please
Pleafe,Please
pleafing,pleasing
Pleafing,Pleasing
plufieures,plusieures
Plufieures,Plusieures
plufieurs,plusieurs
Plufieurs,Plusieurs
poffible,possible
Poffible,Possible
poiffon,poisson
Poiffon,Poisson
pourfuivre,poursuivre
Pourfuivre,Poursuivre
prefcribed,prescribed
Prefcribed,Prescribed
prefent,present
Prefent,Present
préfent,présent
Préfent,Présent
préfenta,présenta
Préfenta,Présenta
préfenté,présenté
Préfenté,Présenté
prefented,presented
Prefented,Presented
préfenterent,présenterent
Préfenterent,Présenterent
préfenterons,présenterons
Préfenterons,Présenterons
prefents,presents
Prefents,Presents
previoufly,previously
Previoufly,Previously
proceffion,procession
Proceffion,Procession
profe,prose
Profe,Prose
profpect,prospect
Profpect,Prospect
propofa,proposa
Propofa,Proposa
propofe,propose
Propofe,Propose
propofes,proposes
Propofes,Proposes
propofons,proposons
Propofons,Proposons
puiffent,puissent
Puiffent,Puissent
purpofe,purpose
Purpofe,Purpose
raifed,raised
Raifed,Raised
raifon,raison
Raifon,Raison
raifonnable,raisonnable
Raifonnable,Raisonnable
raifons,raisons
Raifons,Raisons
reafon,reason
Reafon,Reason
reafonable,reasonable
Reafonable,Reasonable
reconnoiffance,reconnoissance
Reconnoiffance,Reconnoissance
refide,reside
Refide,Reside
refigned,resigned
Refigned,Resigned
réfolution,résolution
Réfolution,Résolution
reft,rest
Reft,Rest
reftored,restored
Reftored,Restored
rémonftrances,rémonstrances
Rémonftrances,Rémonstrances
remonftrating,remonstrating
Remonftrating,Remonstrating
repréfentant,représentant
Repréfentant,Représentant
reprefentative,representative
Reprefentative,Representative
réprefentatives,répresentatives
Réprefentatives,Répresentatives
reprefenting,representing
Reprefenting,Representing
ruffian,russian
Ruffian,Russian
ruffie,russie
Ruffie,Russie
seffion,session
Seffion,Session
thefe,these
Thefe,These
themfelves,themselves
Themfelves,Themselves
thofe,those
Thofe,Those
thoufand,thousand
Thoufand,Thousand
tranfactions,transactions
Tranfactions,Transactions
tranfport,transport
Tranfport,Transport
ufe,use
Ufe,Use
ufefully,usefully
Ufefully,Usefully
univerfal,universal
Univerfal,Universal
vaiffeaux,vaisseaux
Vaiffeaux,Vaisseaux
veffels,vessels
Veffels,Vessels
verfe,verse
Verfe,Verse
vifit,visit
Vifit,Visit
warfaw,warsaw
Warfaw,Warsaw
weft,west
Weft,West
weftern,western
Weftern,Western
whofe,whose
Whofe,Whose
yefterday,yesterday
Yefterday,Yesterday
